#separator:tab
#html:false
#deck column:3
#tags column:4
#columns:Front	Back	Deck	Tags
¿Qué es 'hambre hormonal' vs 'hambre real' en consulta?	Hambre hormonal = AgRP activada por señales (leptina↓/grelina↑) aunque haya reservas; hambre real = necesidad energética. La primera no se resuelve con fuerza de voluntad.	APEX::LIVIANO::fisiologia	liviano::fisiologia d06 mecanismo
¿Qué señales activan a las neuronas AgRP y cuál es la consecuencia conductual?	Grelina alta (estómago vacío) y leptina baja (reservas cayendo); al activarse disparan búsqueda de comida, ingesta y menor gasto: es el 'acelerador' del hambre.	APEX::LIVIANO::fisiologia	liviano::fisiologia d06 mecanismo
¿Qué hacen las neuronas POMC/α-MSH?	Son el FRENO de saciedad: las activan la leptina y las señales de saciedad y reducen la ingesta. El balance AgRP (acelerador) / POMC (freno) fija el hambre del momento.	APEX::LIVIANO::fisiologia	liviano::fisiologia d07 mecanismo
¿Cómo se relacionan AgRP y POMC entre sí?	Son poblaciones antagónicas del arcuato: AgRP bloquea la vía de saciedad (señal melanocortina) mientras POMC libera α-MSH que la activa; el balance entre ambas define hambre o saciedad en cada momento.	APEX::LIVIANO::fisiologia	liviano::fisiologia d07 mecanismo
Metáfora acelerador/freno: ¿qué corresponde a qué?	Acelerador = AgRP/NPY (hambre; activado por grelina y leptina baja). Freno = POMC/α-MSH (saciedad; activado por leptina y señales intestinales). En la dieta el acelerador se pisa más y el freno se afloja.	APEX::LIVIANO::fisiologia	liviano::fisiologia d07 mecanismo
¿Por qué sube la grelina tras la dieta?	La grelina (gástrica, orexigénica, pico preprandial) AUMENTA de forma sostenida con la restricción calórica: es parte de la respuesta defensiva del set point, no un fallo del paciente.	APEX::LIVIANO::fisiologia	liviano::fisiologia d08 mecanismo
'Doctor, ¿por qué tengo MÁS hambre desde que hago dieta?' — respuesta mecanística	Grelina alta + leptina baja → AgRP activado: hambre hormonal esperable tras restringir; por eso el tratamiento no puede ser solo 'aguantar'.	APEX::LIVIANO::fisiologia	liviano::fisiologia d08 mecanismo
¿Cuándo es fisiológico el pico de grelina y qué cambia tras perder peso?	Sube antes de cada comida (estómago vacío) y baja al comer; tras la pérdida de peso su nivel basal queda más alto de forma sostenida, por eso el hambre 'de fondo' aumenta.	APEX::LIVIANO::fisiologia	liviano::fisiologia d08 mecanismo
¿Cómo avisa el intestino al cerebro que ya comiste?	Tras la comida libera GLP-1, PYY y CCK → señal de saciedad vía tronco encefálico. Es la base fisiológica de los fármacos GLP-1 (copian una hormona que el intestino ya produce).	APEX::LIVIANO::fisiologia	liviano::fisiologia d09 mecanismo
¿Qué dispara la liberación de GLP-1, PYY y CCK y por qué vía llegan al cerebro?	Se liberan desde el intestino cuando llegan nutrientes; actúan por el nervio vago y el tronco encefálico (núcleo del tracto solitario) y desde ahí sobre el hipotálamo: el mensaje es 'ya comiste, frena'.	APEX::LIVIANO::fisiologia	liviano::fisiologia d09 mecanismo
¿Por qué las señales intestinales de saciedad son la base de los fármacos del módulo 2?	Porque los agonistas de GLP-1 copian una de esas señales y la mantienen activa durante días: el cerebro recibe 'estamos satisfechos' de forma sostenida y el vaciamiento gástrico se enlentece.	APEX::LIVIANO::fisiologia	liviano::fisiologia d09 mecanismo
¿Dónde convergen leptina, grelina y las señales intestinales, y qué informa cada una?	Convergen en hipotálamo (arcuato AgRP/POMC) y tronco encefálico: leptina = reservas; grelina = estómago vacío; GLP-1/PYY/CCK = comida reciente.	APEX::LIVIANO::fisiologia	liviano::fisiologia d11 mecanismo
Clasifica las señales: ¿cuáles son de largo plazo y cuáles de corto plazo?	Largo plazo (reservas): leptina. Corto plazo (comida en curso): grelina antes de comer; GLP-1, PYY y CCK después. El arcuato integra ambas para decidir hambre y gasto.	APEX::LIVIANO::fisiologia	liviano::fisiologia d11 mecanismo
¿Por qué una dieta 'activa todas las alarmas' a la vez?	Cae la leptina (reservas bajan) y sube la grelina (estómago vacío), mientras las señales de saciedad postprandiales son menores por comer menos: todo el sistema empuja hacia comer y ahorrar.	APEX::LIVIANO::fisiologia	liviano::fisiologia d11 mecanismo
¿Qué es la termogénesis adaptativa?	Tras perder peso el gasto energético cae MÁS de lo que predice la masa perdida: el cuerpo 'ahorra' para recuperar el peso defendido.	APEX::LIVIANO::fisiologia	liviano::fisiologia d12 mecanismo
'Bajé de peso y ahora quemo menos, ¿estoy roto?'	No: es adaptación metabólica esperable (gasto↓ + hambre↑). Se planifica para ella (proteína, fuerza, tratamiento crónico) en vez de sorprenderse.	APEX::LIVIANO::fisiologia	liviano::fisiologia d12 mecanismo
¿Qué componentes del gasto bajan al perder peso y cuál es el 'extra' de la termogénesis adaptativa?	Baja el gasto por menor masa corporal (esperable) y además cae por debajo de lo que esa masa predice: ese exceso de caída es la termogénesis adaptativa (mayor eficiencia muscular, menor tono simpático/tiroideo).	APEX::LIVIANO::fisiologia	liviano::fisiologia d12 mecanismo
¿Por qué la adaptación metabólica persiste años?	Porque la respuesta hormonal a la pérdida (leptina baja, grelina alta, menos saciedad) no se apaga con el tiempo — de ahí el argumento del tratamiento crónico.	APEX::LIVIANO::fisiologia	liviano::fisiologia d13 mecanismo
'Ya pasó un año, ¿mi cuerpo ya se acostumbró al nuevo peso?' — respuesta mecanística	No necesariamente: en los seguimientos, la leptina baja y la grelina alta persisten años después de la pérdida; el sistema sigue leyendo el nuevo peso como déficit.	APEX::LIVIANO::fisiologia	liviano::fisiologia d13 mecanismo
¿Por qué la obesidad se maneja como la hipertensión?	Porque la adaptación metabólica persiste: al retirar el tratamiento vuelve la presión biológica hacia el peso anterior, igual que la presión arterial sube al dejar el antihipertensivo.	APEX::LIVIANO::fisiologia	liviano::fisiologia d14 mecanismo
Objeción '¿de por vida?' — respuesta honesta	Tratamiento a largo plazo con revisión periódica; el plan de salida es gradual y se decide con datos (no una promesa de 'cura').	APEX::LIVIANO::fisiologia	liviano::fisiologia d14 mecanismo
¿Qué paralelismo exacto hay entre obesidad e hipertensión para explicar la cronicidad?	Ambas son enfermedades de un sistema regulador desajustado: el tratamiento controla la variable mientras se aplica y, al retirarlo, la variable vuelve porque el mecanismo de base sigue ahí.	APEX::LIVIANO::fisiologia	liviano::fisiologia d14 mecanismo
¿Qué distingue una tarjeta de MECANISMO de un dato suelto?	Pregunta '¿por qué?' y encadena causa→efecto (dieta → leptina↓ → AgRP↑ → hambre↑), no 'STEP 1 = 14,9 %' aislado.	APEX::LIVIANO::fisiologia	liviano::fisiologia d16 mecanismo
¿Cómo se redacta una buena tarjeta de mecanismo (formato Palmerton)?	Pregunta '¿por qué / cómo?' → respuesta que encadena causa → efecto → consecuencia clínica en 1-3 frases; sin listas de datos sueltos; una idea por tarjeta.	APEX::LIVIANO::fisiologia	liviano::fisiologia d16 mecanismo
¿Por qué el pre-test ciego del lunes se hace ANTES de repasar?	Porque el recuerdo en ciego (testing effect) consolida más que releer y da una medida honesta: el % ciego dice qué se sabe, no qué se leyó.	APEX::LIVIANO::fisiologia	liviano::fisiologia d16 mecanismo
Recorrido inverso: la recuperación de peso tras una dieta ← ¿qué cadena?	← hambre↑ y gasto↓ ← leptina↓ / grelina↑ ← pérdida de peso leída por el hipotálamo como amenaza al set point.	APEX::LIVIANO::fisiologia	liviano::fisiologia d17 mecanismo
Explica en 4 pasos hacia atrás por qué la semana 8 de dieta es más difícil que la semana 1	Peso ↓ → leptina ↓ y grelina ↑ → AgRP más activo y POMC menos → más hambre y menos gasto: cada semana el sistema empuja más fuerte contra el déficit.	APEX::LIVIANO::fisiologia	liviano::fisiologia d17 mecanismo
¿Cuándo usar termostato, timbre y acelerador/freno?	Termostato = por qué se recupera el peso (set point); timbre = resistencia leptínica; acelerador/freno = hambre vs saciedad (AgRP vs POMC).	APEX::LIVIANO::fisiologia	liviano::fisiologia d18 mecanismo
¿Qué metáfora eliges para el paciente que dice 'tengo hambre todo el tiempo'?	Timbre: la grelina toca el timbre antes de comer y en dieta el timbre suena más veces y más fuerte; no es 'ansiedad', es una señal biológica a la que el tratamiento puede bajarle el volumen.	APEX::LIVIANO::fisiologia	liviano::fisiologia d18 mecanismo
Resume en una frase por qué el cuerpo defiende su peso.	Un sistema hipotalámico lee reservas (leptina), estómago (grelina) e intestino (GLP-1/PYY/CCK) y, ante la pérdida, sube el hambre y baja el gasto de forma persistente.	APEX::LIVIANO::fisiologia	liviano::fisiologia d19 mecanismo
¿Qué debe contener el §1 (fundamento) del protocolo en 10 líneas?	Definición (enfermedad del sistema regulador), set point, adaptación metabólica persistente, consecuencia (tratamiento crónico), las 3 metáforas y la regla de lenguaje sin culpa.	APEX::LIVIANO::fisiologia	liviano::fisiologia d19 mecanismo
¿Cuál es la conclusión clínica única del módulo 1?	Perder peso es fácil de empezar y difícil de sostener por biología, no por carácter; por eso el plan LIVIANO es crónico y mide adherencia, no voluntad.	APEX::LIVIANO::fisiologia	liviano::fisiologia d19 mecanismo
¿Qué hace el GLP-1 endógeno?	Saciedad central, enlentece el vaciamiento gástrico y estimula insulina de forma dependiente de glucosa.	APEX::LIVIANO::glp1	liviano::glp1 d21 mecanismo
¿Por qué 'copiar una hormona que el intestino ya produce' es la metáfora ancla del módulo?	Porque explica sin miedo el mecanismo (agonista de un receptor fisiológico) y conecta con la señal de saciedad del módulo 1.	APEX::LIVIANO::glp1	liviano::glp1 d21 mecanismo
¿Cuáles son los 3 efectos del GLP-1 y cómo se traduce cada uno a lo que siente el paciente?	Saciedad central → 'menos ruido de comida'; vaciamiento gástrico lento → 'me lleno antes' (y náusea si come rápido/graso); insulina dependiente de glucosa → mejor glucemia sin hipoglucemia por sí solo.	APEX::LIVIANO::glp1	liviano::glp1 d21 mecanismo
STEP 1 (semaglutida 2,4 mg): ¿cifra ancla?	−14,9 % vs −2,4 % con placebo a 68 semanas.	APEX::LIVIANO::glp1	liviano::glp1 d22 mecanismo
¿Por qué traducir el % a kilos del paciente en consulta?	Porque el paciente decide con kilos, no con porcentajes: −14,9 % de 90 kg ≈ 13 kg; ancla expectativas realistas sin prometer (CMP Art. 73).	APEX::LIVIANO::glp1	liviano::glp1 d22 mecanismo
¿Por qué el −2,4 % del brazo placebo de STEP 1 importa tanto como el −14,9 %?	Porque ambos brazos tuvieron intervención de estilo de vida: la diferencia (~12,5 puntos) es el efecto atribuible al fármaco, y muestra lo poco que logra la vía conductual sola en 68 semanas.	APEX::LIVIANO::glp1	liviano::glp1 d22 mecanismo
¿Qué pasa al suspender la semaglutida sin cambiar nada más?	Se recupera ~67 % del peso perdido en 1 año.	APEX::LIVIANO::glp1	liviano::glp1 d23 mecanismo
¿Por qué se recupera el peso al suspender el GLP-1?	El fármaco baja el 'volumen' de la señal de hambre pero no resetea el set point: al retirarlo vuelve la presión biológica (módulo 1) → base de la cronicidad y del plan de mantenimiento.	APEX::LIVIANO::glp1	liviano::glp1 d23 mecanismo
¿Cómo se usa el dato del 67 % en la decisión compartida de suspensión?	Como probabilidad, no como amenaza: 'si lo dejamos sin cambiar nada más, lo esperable es recuperar dos tercios en un año'; luego se ofrecen opciones (mantener, reducir, salida gradual con criterios de reinicio).	APEX::LIVIANO::glp1	liviano::glp1 d23 mecanismo
SELECT: ¿población y resultado?	Obesidad + enfermedad cardiovascular sin diabetes: ~−20 % de eventos cardiovasculares mayores con semaglutida.	APEX::LIVIANO::glp1	liviano::glp1 d24 mecanismo
¿Por qué SELECT cambia la conversación de 'estética' a 'salud'?	Porque demuestra reducción de eventos cardiovasculares mayores en personas con obesidad y enfermedad cardiovascular sin diabetes: el beneficio no depende solo de los kilos; se trata una enfermedad, no una apariencia.	APEX::LIVIANO::glp1	liviano::glp1 d24 mecanismo
¿A quién NO se le puede extrapolar SELECT y por qué?	A quien no tiene enfermedad cardiovascular establecida (población distinta): decir 'te protege el corazón' a un paciente sano de 30 años es extrapolar fuera del estudio (regla anti-alucinación).	APEX::LIVIANO::glp1	liviano::glp1 d24 mecanismo
SURMOUNT-1 (tirzepatida): ¿cifras por dosis?	−15 % (5 mg) / −19,5 % (10 mg) / −20,9 % (15 mg) vs −3,1 % placebo.	APEX::LIVIANO::glp1	liviano::glp1 d26 mecanismo
¿Qué significa que la tirzepatida sea 'dual'?	Agonista de dos receptores (GIP + GLP-1): 'dos llaves en dos cerraduras' de la saciedad y el metabolismo.	APEX::LIVIANO::glp1	liviano::glp1 d26 mecanismo
¿Qué se puede afirmar y qué no sobre por qué la tirzepatida pierde más peso que el GLP-1 solo?	Afirmable: es agonista dual GIP/GLP-1 y en SURMOUNT-1 llegó a −20,9 % vs −3,1 % placebo. No afirmable en consulta: el mecanismo exacto del aporte del GIP (en estudio); se explica el resultado, no una teoría.	APEX::LIVIANO::glp1	liviano::glp1 d26 mecanismo
SURMOUNT-1 en prediabetes: ¿dato preventivo?	94 % de reducción de la progresión a diabetes.	APEX::LIVIANO::glp1	liviano::glp1 d27 mecanismo
¿Cómo explicas el 94 % sin prometer 'no vas a tener diabetes'?	Es reducción RELATIVA de la progresión frente a placebo en el estudio, mientras se toma el fármaco; se dice 'baja mucho el riesgo mientras tratamos', nunca garantía individual (CMP Art. 73).	APEX::LIVIANO::glp1	liviano::glp1 d27 mecanismo
SURMOUNT-5 (head-to-head): ¿resultado?	Tirzepatida ~20 % vs semaglutida ~14 % de pérdida de peso.	APEX::LIVIANO::glp1	liviano::glp1 d28 mecanismo
¿Qué NO concluir de SURMOUNT-5?	Que la semaglutida 'no sirve': la elección se individualiza por costo, tolerancia, comorbilidad (p. ej. SELECT en ECV) y disponibilidad real en Perú.	APEX::LIVIANO::glp1	liviano::glp1 d28 mecanismo
¿Cómo usas SURMOUNT-5 con un paciente que solo puede pagar semaglutida?	Ambas mueven la aguja (~14 % también es clínicamente relevante); se elige la que puede sostener meses: la mejor molécula es la que no se abandona.	APEX::LIVIANO::glp1	liviano::glp1 d28 mecanismo
¿Cuáles son los EA dominantes de los GLP-1 y cuál es EL manejo?	Gastrointestinales (náusea, vómito, estreñimiento). El manejo es la escalada LENTA de dosis + porciones pequeñas, menos grasa, hidratación.	APEX::LIVIANO::glp1	liviano::glp1 d29 mecanismo
¿Por qué la escalada lenta reduce los EA?	Da tiempo a la adaptación al enlentecimiento gástrico y a la saciedad central antes de subir la dosis (esquema exacto: ficha técnica — A VERIFICAR).	APEX::LIVIANO::glp1	liviano::glp1 d29 mecanismo
¿Qué mecanismo explica la náusea y el vómito de los GLP-1?	Vaciamiento gástrico enlentecido + acción central sobre el tronco encefálico: el estómago se llena antes y el cerebro recibe señal de 'demasiado'; por eso porciones pequeñas, menos grasa y comer lento reducen el síntoma.	APEX::LIVIANO::glp1	liviano::glp1 d29 mecanismo
¿Cuál es la contraindicación dura de los GLP-1?	Antecedente personal/familiar de carcinoma medular de tiroides o MEN2 (motivo exacto en ficha técnica — A VERIFICAR).	APEX::LIVIANO::glp1	liviano::glp1 d31 mecanismo
¿Qué eventos raros exigen suspender y evaluar de urgencia?	Pancreatitis (dolor abdominal intenso irradiado a espalda + vómitos), colelitiasis sintomática, gastroparesia; cualquiera → suspender y evaluar antes de reintroducir.	APEX::LIVIANO::glp1	liviano::glp1 d31 mecanismo
¿Qué otros escenarios son gatillo de suspensión + derivación (no cifra, criterio)?	Embarazo o búsqueda de embarazo → suspender y derivar a obstetricia (periodo de lavado según ficha técnica — A VERIFICAR).	APEX::LIVIANO::glp1	liviano::glp1 d31 mecanismo
¿Qué preguntas del screening previo a prescribir se derivan de cada evento de seguridad?	MEN2/CMT: antecedente personal/familiar de carcinoma medular de tiroides; pancreatitis: episodio previo, alcohol, triglicéridos muy altos; biliar: cólico/cálculos sintomáticos; embarazo/lactancia o búsqueda de embarazo.	APEX::LIVIANO::glp1	liviano::glp1 d31 mecanismo
¿Por qué con GLP-1 se pierde músculo además de grasa?	Porque un déficit calórico grande y sostenido pierde también masa magra; el fármaco reduce mucho la ingesta → sin proteína (1,2-1,6 g/kg) ni fuerza (2x/sem) la pérdida incluye músculo.	APEX::LIVIANO::glp1	liviano::glp1 d32 mecanismo
¿Por qué cualquier pérdida de peso rápida pierde músculo y cómo lo minimiza LIVIANO?	En déficit el cuerpo usa también proteína muscular como sustrato; sin estímulo (fuerza) ni ladrillos (proteína) parte de lo perdido es masa magra. Proteína 1,2-1,6 g/kg + fuerza 2x/semana dan la señal de 'conservar músculo'.	APEX::LIVIANO::glp1	liviano::glp1 d32 mecanismo
¿Qué signo clínico simple sugiere pérdida de masa magra en un paciente con GLP-1?	Pérdida de fuerza funcional (le cuesta subir escaleras, sentarse-levantarse peor, agarre más débil) mientras la balanza baja: la balanza no distingue; la fuerza sí.	APEX::LIVIANO::glp1	liviano::glp1 d32 mecanismo
¿Qué novedad de vía oral existe para semaglutida y desde cuándo?	Wegovy en tabletas — FDA dic-2025 (requisitos de toma y disponibilidad en Perú: A VERIFICAR).	APEX::LIVIANO::glp1	liviano::glp1 d33 mecanismo
¿A quién le conviene la vía oral de semaglutida y qué exige?	A quien rechaza inyecciones o tiene una barrera práctica; requiere condiciones de toma según ficha técnica (A VERIFICAR) y registro en Perú (tabla de acceso): sin eso, no se ofrece.	APEX::LIVIANO::glp1	liviano::glp1 d33 mecanismo
¿Qué se le dice al paciente que 'leyó que ahora hay pastilla'?	Que existe en EE. UU. (FDA dic-2025) y que su disponibilidad y precio en Perú se verifican, no se suponen; mientras tanto se usa lo que tiene registro.	APEX::LIVIANO::glp1	liviano::glp1 d33 mecanismo
Orforglipron: ¿qué es y cifra de ACHIEVE-1?	GLP-1 ORAL no peptídico (FDA abr-2026): ~8 % en diabéticos, EA GI 44-70 %.	APEX::LIVIANO::glp1	liviano::glp1 d34 mecanismo
¿Qué hay en pipeline y qué se le dice al paciente que lo 'leyó en TikTok'?	Retatrutide y CagriSema (en desarrollo). Se explica que no se prescribe lo no aprobado ni se prometen cifras de estudios en curso.	APEX::LIVIANO::glp1	liviano::glp1 d34 mecanismo
¿Por qué 'GI 44-70 %' de orforglipron es un dato para el consentimiento y no para el marketing?	Porque la tolerancia decide la adherencia: una molécula oral 'cómoda' con alta tasa de EA GI puede abandonarse; el paciente debe saberlo antes, no después.	APEX::LIVIANO::glp1	liviano::glp1 d34 mecanismo
¿Por qué LIVIANO revisa la farmacoterapia cada trimestre?	Porque aprobaciones y precios se mueven rápido: genéricos de semaglutida en Brasil/India desde mar-2026 → el costo en Perú cambiará.	APEX::LIVIANO::glp1	liviano::glp1 d36 mecanismo
¿Qué efecto tendrá un genérico de semaglutida sobre el modelo LIVIANO?	Baja el COGS y el precio de mercado: la ventaja del magistral se erosiona y el valor pasa al acompañamiento; por eso el margen se justifica con servicio, no con el fármaco.	APEX::LIVIANO::glp1	liviano::glp1 d36 mecanismo
¿Qué tres cosas cambian cuando cae el precio del fármaco?	Value stack (medicamento 3 m), COGS/KPI margen y objeciones de precio; las tres se recalculan en la revisión trimestral con cotizaciones fechadas.	APEX::LIVIANO::glp1	liviano::glp1 d36 mecanismo
¿Por qué las cifras ancla se drillean en ciego y no se releen?	Porque en consulta se recuperan sin notas; el recuerdo activo con retroalimentación inmediata es lo que las fija (testing effect); lo fallado va a Anki el mismo día.	APEX::LIVIANO::glp1	liviano::glp1 d37 mecanismo
Estructura mínima del protocolo de prescripción LIVIANO	Candidato (IMC/comorbilidad) → screening de contraindicaciones (MEN2/CMT, embarazo, pancreatitis) → labs basales → inicio y escalada lenta (ficha técnica) → check-in de EA → criterios de escalada/suspensión/derivación.	APEX::LIVIANO::glp1	liviano::glp1 d38 mecanismo
¿Qué criterio de suspensión NO negociable debe llevar el protocolo?	Sospecha de pancreatitis (dolor abdominal intenso irradiado a la espalda + vómitos), embarazo o búsqueda de embarazo, y EA intolerables pese a mantener la dosis: suspender, evaluar/derivar y no reintroducir sin decisión compartida.	APEX::LIVIANO::glp1	liviano::glp1 d38 mecanismo
¿Qué significa 'no escalar mientras haya EA GI'?	La dosis sube solo cuando la actual se tolera: la escalada lenta ES el manejo del EA; subir con náusea activa multiplica el abandono.	APEX::LIVIANO::glp1	liviano::glp1 d38 mecanismo
¿Por qué un registro sanitario vigente es prerrequisito de la oferta LIVIANO?	Sin registro no hay dispensación legal ni trazabilidad por lote; el riesgo cae sobre el médico prescriptor. Dato exacto por molécula: LIVIANO_ACCESO_PERU (A VERIFICAR en DIGEMID).	APEX::LIVIANO::acceso_peru	liviano::acceso_peru d39 mecanismo
Regla anti-alucinación aplicada al registro sanitario	Solo se afirma lo capturado con fecha en el portal oficial; si no aparece se escribe 'SIN REGISTRO HALLADO (fecha)'.	APEX::LIVIANO::acceso_peru	liviano::acceso_peru d39 mecanismo
¿Qué se le dice al paciente si el registro aún no está verificado?	La verdad con fecha: 'lo estoy verificando en DIGEMID, te lo confirmo el (fecha)'; nunca 'sí, es legal' sin captura fechada.	APEX::LIVIANO::acceso_peru	liviano::acceso_peru d39 mecanismo
¿Qué determina la 'condición de venta' de un producto y por qué importa para LIVIANO?	La fija el registro sanitario (venta con receta / receta retenida — A VERIFICAR): define quién dispensa, qué documento queda y cómo se diseña el flujo receta → farmacia → paciente en el CRM.	APEX::LIVIANO::acceso_peru	liviano::acceso_peru d41 mecanismo
¿Cuál es el flujo mínimo receta → farmacia → paciente que debe quedar documentado?	Quién prescribe (médico LIVIANO), qué documento entrega, dónde se dispensa (farmacia licenciada), qué queda registrado (receta retenida o no, según condición de venta) y cómo se anota en el CRM.	APEX::LIVIANO::acceso_peru	liviano::acceso_peru d41 mecanismo
¿Por qué la condición de venta afecta al diseño del programa y no solo a la legalidad?	Porque define si el paciente puede comprar por su cuenta o depende de la receta en cada ciclo: cambia la cadencia de consultas, el kit de bienvenida y la logística.	APEX::LIVIANO::acceso_peru	liviano::acceso_peru d41 mecanismo
¿Por qué el value stack de LIVIANO no puede publicar un precio de fármaco sin cotización fechada?	Porque el precio cambia rápido (genéricos 2026) y un precio inventado rompe la confianza y el margen: la regla es 2 cotizaciones fechadas + fecha de verificación en LIVIANO_ACCESO_PERU.	APEX::LIVIANO::acceso_peru	liviano::acceso_peru d42 mecanismo
¿Por qué dos cotizaciones (cadena + independiente) y no una?	Porque los precios de farmacia varían y la oferta usa un número público: dos fuentes fechadas evitan publicar un precio inventado o desactualizado.	APEX::LIVIANO::acceso_peru	liviano::acceso_peru d42 mecanismo
¿Qué se recalcula si el fármaco cuesta más de lo asumido en el value stack?	El 'medicamento 3 m' del stack, el COGS por paciente-mes y el margen del tier; si el margen cae por debajo de lo aceptable se ajusta la escalera de precios, no la calidad del producto.	APEX::LIVIANO::acceso_peru	liviano::acceso_peru d42 mecanismo
¿Por qué el magistral es 'ventaja temporal, no cimiento'?	Está expuesto regulatoriamente (legalidad A VERIFICAR con QF/abogado) y su costo cambia con los genéricos; LIVIANO necesita plan B de marca y siempre certificado de análisis por lote.	APEX::LIVIANO::acceso_peru	liviano::acceso_peru d43 mecanismo
¿Qué dos pendientes rojos cierra este día y con qué salida?	'Legalidad DIGEMID' y 'Cotización Sterilelabs' → filas de LIVIANO_ACCESO_PERU con fecha de verificación y dueño.	APEX::LIVIANO::acceso_peru	liviano::acceso_peru d43 mecanismo
¿Qué hace aceptable un magistral para LIVIANO y qué lo hace inaceptable?	Aceptable: farmacia licenciada + certificado de análisis por lote + dictamen de legalidad. Inaceptable: cualquier producto sin trazabilidad de lote o temperatura ('mercado gris'), aunque sea más barato.	APEX::LIVIANO::acceso_peru	liviano::acceso_peru d43 mecanismo
¿Qué rango de temperatura exige la cadena de frío del GLP-1 y qué dos cosas debe saber el paciente?	2–8 °C extremo a extremo; (1) cómo transportarlo/almacenarlo en casa y (2) cuánto tiempo puede estar fuera de refrigeración (ficha técnica — A VERIFICAR por producto).	APEX::LIVIANO::acceso_peru	liviano::acceso_peru d44 mecanismo
¿Por qué la puerta del refrigerador no es un buen sitio para la pluma?	Es la zona con más oscilación de temperatura al abrir y cerrar; la pluma va en un estante interior a 2–8 °C, lejos del congelador (nunca congelar).	APEX::LIVIANO::acceso_peru	liviano::acceso_peru d44 mecanismo
